"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"1","PAN-213728",10000000,1,1,"Cancelled","Development Application","Unknown","Cessnock City Council","Dwelling","267 DEASEYS ROAD POKOLBIN 2320","151.291327064","-32.728599275","267","DEASEYS","ROAD","POKOLBIN","2320","New South Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PAN-256445",6825000,10,3,"Cancelled","Development Application","Unknown","Ku-ring-gai Council","Multi-dwelling housing","8 WOONONA AVENUE WAHROONGA 2076","151.113079883","-33.717807405","8","WOONONA","AVENUE","WAHROONGA","2076","New South Wales",NA,NA,3,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"3","PAN-245627",7128550,13,1,"Cancelled","Development Application","Unknown","Parkes Shire Council","Multi-dwelling housing","32 CLARINDA STREET PARKES 2870","148.186645151","-33.143177135","32","CLARINDA","STREET","PARKES","2870","New South Wales",NA,NA,2,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"4","PAN-261064",16345133,9,6,"Cancelled","Development Application","Unknown","Council of the City of Sydney","Multi-dwelling housing-Residential flat building-Alterations and additions to residential development","13-17 ITHACA ROAD ELIZABETH BAY 2011","151.228154755","-33.870886287","13","ITHACA","ROAD","ELIZABETH BAY","2011","New South Wales","17",NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"5","PAN-267097",56581454.6,161,NA,"Cancelled","Development Application","Unknown","Liverpool City Council","Multi-dwelling housing-Residential flat building","BUCHAN AVENUE EDMONDSON PARK 2174","150.859511163","-33.968206275",NA,"BUCHAN","AVENUE","EDMONDSON PARK","2174","New South Wales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PAN-267473",55033000,61,13,"Cancelled","Development Application","Unknown","North Sydney Council","Residential flat building-Mixed use development-Office premises-Retail premises ","286-294 Pacific Highway Crows Nest, NSW 2065","151.198496663","-33.825994403",NA,NA,NA,NA,NA,NA,NA,NA,1,"Y","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"7","PAN-259912",17670000,35,4,"Cancelled","Development Application","Unknown","Northern Beaches Council","Residential flat building","171 FOREST WAY BELROSE 2085","151.222086418","-33.729088238","171","FOREST","WAY","BELROSE","2085","New South Wales",NA,NA,1,"N","N","Y",35,NA,NA,NA,NA,NA,NA,NA
"8","PAN-260116",17670000,35,4,"Cancelled","Development Application","Unknown","Northern Beaches Council","Residential flat building","171 FOREST WAY BELROSE 2085","151.222086418","-33.729088238","171","FOREST","WAY","BELROSE","2085","New South Wales",NA,NA,1,"N","N","Y",35,NA,NA,NA,NA,NA,NA,NA
"9","PAN-260057",17535000,35,4,"Cancelled","Development Application","Unknown","Northern Beaches Council","Residential flat building","171 FOREST WAY BELROSE 2085","151.222086418","-33.729088238","171","FOREST","WAY","BELROSE","2085","New South Wales",NA,NA,1,"N","N","Y",35,NA,NA,NA,NA,NA,NA,NA
"10","PAN-276732",87923198,308,NA,"Cancelled","Development Application","Unknown","Blacktown City Council","Residential flat building","60 PELICAN ROAD SCHOFIELDS 2762","150.879428922","-33.704875675","60","PELICAN","ROAD","SCHOFIELDS","2762","New South Wales",NA,NA,1,NA,"Y","Y",308,NA,NA,NA,NA,NA,NA,NA
"11","PAN-279599",9851380.61,39,NA,"Cancelled","Development Application","Unknown","Georges River Council","Demolition-Residential flat building","10 VAUGHAN STREET BLAKEHURST 2221","151.111918008","-33.989766745","10","VAUGHAN","STREET","BLAKEHURST","2221","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PAN-269765",48537600,81,2,"Cancelled","Development Application","Unknown","Wollongong City Council","Demolition-Multi-dwelling housing-Earthworks / change in levels","17A MURRANAR ROAD TOWRADGI 2518","150.908885482","-34.386820117","17A","MURRANAR","ROAD","TOWRADGI","2518","New South Wales",NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"13","PAN-274435",39957266,15,NA,"Cancelled","Development Application","Unknown","Waverley Council","Shop top housing","141-155 Curlewis Street, Bondi Beach","151.274444301","-33.889416727",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","PAN-274621",6133580,1,2,"Cancelled","Development Application","Unknown","The Hills Shire Council","Dwelling-Pools / decks / fencing-Demolition-Shed","208 ANNANGROVE ROAD ANNANGROVE 2156","150.948800034","-33.668140127","208","ANNANGROVE","ROAD","ANNANGROVE","2156","New South Wales",NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"15","PAN-276277",42864756.32,196,8,"Cancelled","Development Application","Unknown","Bayside Council","Residential flat building","15-37 Innesdale Road, Wolli Creek","151.155569482","-33.935420583",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"16","PAN-280175",9999999,114,6,"Cancelled","Development Application","Unknown","The Hills Shire Council","Residential flat building","13 TERRY ROAD BOX HILL 2765","150.895969273","-33.660258086","13","TERRY","ROAD","BOX HILL","2765","New South Wales",NA,NA,NA,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"17","PAN-286074",7247840,11,3,"Cancelled","Development Application","Unknown","Strathfield Municipal Council","Multi-dwelling housing","46 HENLEY ROAD HOMEBUSH WEST 2140","151.068588227","-33.86894075","46","HENLEY","ROAD","HOMEBUSH WEST","2140","New South Wales",NA,NA,2,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"18","PAN-278025",14916000,21,NA,"Cancelled","Development Application","Unknown","Woollahra Municipal Council","Demolition-Multi-dwelling housing-Residential flat building-Alterations and additions to residential development-Subdivision of land-Change of use","2A JAMES STREET WOOLLAHRA 2025","151.234815662","-33.889453357","2A","JAMES","STREET","WOOLLAHRA","2025","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PAN-289221",7595000,15,4,"Cancelled","Development Application","Unknown","Ku-ring-gai Council","Residential flat building","26 PACIFIC HIGHWAY ROSEVILLE 2069","151.178047481","-33.786517585","26","PACIFIC","HIGHWAY","ROSEVILLE","2069","New South Wales",NA,NA,1,"Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"20","PAN-280394",7260000,1,6,"Cancelled","Development Application","Unknown","Woollahra Municipal Council","Dwelling","25 VAUCLUSE ROAD VAUCLUSE 2030","151.270865318","-33.85818636","25","VAUCLUSE","ROAD","VAUCLUSE","2030","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","PAN-279017",5334301,1,3,"Cancelled","Development Application","Unknown","Waverley Council","Dwelling","449 BRONTE ROAD BRONTE 2024","151.265764333","-33.903881953","449","BRONTE","ROAD","BRONTE","2024","New South Wales",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"22","PAN-280446",48537600,81,2,"Cancelled","Development Application","Unknown","Wollongong City Council","Demolition-Multi-dwelling housing-Earthworks / change in levels","17A MURRANAR ROAD TOWRADGI 2518","150.908885482","-34.386820117","17A","MURRANAR","ROAD","TOWRADGI","2518","New South Wales",NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"23","PAN-281251",17615084,32,3,"Cancelled","Development Application","Unknown","The Hills Shire Council","Multi dwelling housing (terraces)","38 KATHLEEN AVENUE CASTLE HILL 2154","150.989655335","-33.725217733","38","KATHLEEN","AVENUE","CASTLE HILL","2154","New South Wales",NA,NA,2,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"24","PAN-286597",85669285,245,20,"Cancelled","Development Application","Unknown","Cumberland Council","Residential flat building-Mixed use development","GLADSTONE STREET MERRYLANDS 2160","150.993623284","-33.834922737",NA,"GLADSTONE","STREET","MERRYLANDS","2160","New South Wales",NA,NA,NA,"N","Y","Y",245,NA,NA,NA,NA,NA,NA,NA
"25","PAN-282485",5000000,10,4,"Cancelled","Development Application","Unknown","Council of the City of Sydney","Residential flat building","545-549 SOUTH DOWLING STREET SURRY HILLS 2010","151.217395476","-33.887794459","545","SOUTH DOWLING","STREET","SURRY HILLS","2010","New South Wales","549",NA,NA,"N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"26","PAN-289027",55000000,12,5,"Cancelled","Development Application","Unknown","Waverley Council","Residential flat building","44 BRONTE ROAD BONDI JUNCTION 2022","151.249983346","-33.893915651","44","BRONTE","ROAD","BONDI JUNCTION","2022","New South Wales",NA,NA,1,"Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"27","PAN-289385",9036954,40,10,"Cancelled","Development Application","Unknown","Georges River Council","Residential flat building-Shop top housing","37-39 PRINCES HIGHWAY KOGARAH 2217","151.137492021","-33.961108284","37","PRINCES","HIGHWAY","KOGARAH","2217","New South Wales","39",NA,1,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"28","PAN-289927",6056160,1,3,"Cancelled","Development Application","Unknown","The Council of the Municipality of Kiama","Dwelling-Pools / decks / fencing","JAMBEROO ROAD CROOM 2527","150.788170547","-34.614201239",NA,"JAMBEROO","ROAD","CROOM","2527","New South Wales",NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"29","PAN-294291",11000000,50,6,"Cancelled","Development Application","Unknown","Central Coast Council","Residential flat building","182 GERTRUDE STREET NORTH GOSFORD 2250","151.345649652","-33.418518048","182","GERTRUDE","STREET","NORTH GOSFORD","2250","New South Wales",NA,NA,NA,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"30","PAN-299310",5992805,2,2,"Cancelled","Development Application","Unknown","Campbelltown City Council","Dwelling","83 BRUCE FERGUSON AVENUE BARDIA 2565","150.858485752","-33.982931759","83","BRUCE FERGUSON","AVENUE","BARDIA","2565","New South Wales",NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","PAN-299931",14625420,0,NA,"Cancelled","Development Application","Unknown","Liverpool City Council","Subdivision of land-Earthworks / change in levels-Recreational Uses-Retaining walls, protection of trees","CAMPBELLTOWN ROAD EDMONDSON PARK 2174","150.851301147","-33.976742381","null","CAMPBELLTOWN","ROAD","EDMONDSON PARK","2174","New South Wales","null","null",3,"N","N","Y",256,NA,NA,NA,NA,NA,NA,NA
"32","PAN-200722",11992651,37,3,"Determined","Development Application","Council","The Hills Shire Council","Multi-dwelling housing","139 BARRY ROAD NORTH KELLYVILLE 2155","150.940295918","-33.677480479","139","BARRY","ROAD","NORTH KELLYVILLE","2155","New South Wales",NA,NA,NA,"N","Y","N",NA,"2022-04-08","2023-02-08","2022-05-04T00:00:00","2022-04-13T00:00:00","Y",NA,NA
"33","PAN-304337",5000000,2,2,"Cancelled","Development Application","Unknown","Woollahra Municipal Council","Dual occupancy","69 WENTWORTH ROAD VAUCLUSE 2030","151.271241589","-33.854136366","69","WENTWORTH","ROAD","VAUCLUSE","2030","New South Wales",NA,NA,NA,"N","N","Y",2,NA,NA,NA,NA,NA,NA,NA
"34","PAN-304804",1111111111111,1,NA,"Cancelled","Development Application","Unknown","Central Coast Council","Alterations and additions to residential development","26 MORGAN AVENUE TUMBI UMBI 2261","151.447319059","-33.368568005","26","MORGAN","AVENUE","TUMBI UMBI","2261","New South Wales",NA,NA,NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"35","PAN-307976",11568890,40,5,"Cancelled","Development Application","Unknown","North Sydney Council","Residential flat building-Mixed use development-Hotel or motel accommodation","12A CARABELLA STREET KIRRIBILLI 2061","151.21824555","-33.850148271","12A","CARABELLA","STREET","KIRRIBILLI","2061","New South Wales",NA,NA,3,"N","Y","N",4,NA,NA,NA,NA,NA,NA,NA
"36","PAN-306424",11568890,40,5,"Cancelled","Development Application","Unknown","North Sydney Council","Residential flat building-Mixed use development-Hotel or motel accommodation","12A CARABELLA STREET KIRRIBILLI 2061","151.21824555","-33.850148271","12A","CARABELLA","STREET","KIRRIBILLI","2061","New South Wales",NA,NA,3,"N","Y","N",4,NA,NA,NA,NA,NA,NA,NA
