"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","NumberOfExistingLots","ApplicationStatus","ApplicationType","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfProposedLots","SubdivisionType"
"1","PAN-188198",480000,0,2,1,"Cancelled","Development Application","N","N","N","Unknown","Canterbury-Bankstown Council","Alterations and additions to commercial development","82 HALDON STREET LAKEMBA 2195","151.077207372","-33.920867638","82","HALDON","STREET","LAKEMBA","2195","New South Wales",NA,NA,NA,NA
"2","PAN-231739",836000,2,2,1,"Cancelled","Development Application","N","N","Y","Unknown","Wollondilly Shire Council","Dual occupancy-Pools / decks / fencing-Subdivision of land","2 NESTLEBRAE STREET SILVERDALE 2752","150.610781721","-33.897645739","2","NESTLEBRAE","STREET","SILVERDALE","2752","New South Wales",NA,NA,2,"Torrens Title"
"3","PAN-238282",736450,1,3,NA,"Cancelled","Development Application","N","N","N","Unknown","Woollahra Municipal Council","Semi-attached dwelling-Alterations and additions to residential development-Garages, carports and car parking spaces","1 TARA STREET WOOLLAHRA 2025","151.238368148","-33.885278673","1","TARA","STREET","WOOLLAHRA","2025","New South Wales",NA,NA,NA,NA
"4","PAN-229734",308000,1,2,NA,"Cancelled","Development Application","N","N","N","Unknown","Northern Beaches Council","Alterations and additions to residential development","47 KANANOOK AVENUE BAYVIEW 2104","151.288751159","-33.6559957","47","KANANOOK","AVENUE","BAYVIEW","2104","New South Wales",NA,NA,NA,NA
"5","PAN-204570",4e+05,1,1,NA,"Cancelled","Development Application","N","N","N","Unknown","Hilltops Council","Dwelling-Shed","73 Crowe Road Young NSW 2594","148.302840098","-34.308015116","73","BROCK","STREET","YOUNG","2594","New South Wales",NA,NA,NA,NA
"6","PAN-229733",308000,1,2,NA,"Cancelled","Development Application","N","N","N","Unknown","Northern Beaches Council","Alterations and additions to residential development","47 KANANOOK AVENUE BAYVIEW 2104","151.288751159","-33.6559957","47","KANANOOK","AVENUE","BAYVIEW","2104","New South Wales",NA,NA,NA,NA
"7","PAN-229740",308000,1,2,NA,"Cancelled","Development Application","N","N","N","Unknown","Northern Beaches Council","Alterations and additions to residential development","47 KANANOOK AVENUE BAYVIEW 2104","151.288751159","-33.6559957","47","KANANOOK","AVENUE","BAYVIEW","2104","New South Wales",NA,NA,NA,NA
"8","PAN-229746",308000,1,2,NA,"Cancelled","Development Application","N","N","N","Unknown","Northern Beaches Council","Alterations and additions to residential development","47 KANANOOK AVENUE BAYVIEW 2104","151.288751159","-33.6559957","47","KANANOOK","AVENUE","BAYVIEW","2104","New South Wales",NA,NA,NA,NA
"9","PAN-229744",308000,1,2,NA,"Cancelled","Development Application","N","N","N","Unknown","Northern Beaches Council","Alterations and additions to residential development","47 KANANOOK AVENUE BAYVIEW 2104","151.288751159","-33.6559957","47","KANANOOK","AVENUE","BAYVIEW","2104","New South Wales",NA,NA,NA,NA
"10","PAN-240871",730150,1,2,NA,"Cancelled","Development Application","N","N","N","Unknown","Willoughby City Council","Semi-attached dwelling-Alterations and additions to residential development-Garages, carports and car parking spaces","301 Sailors Bay Road Northbridge","151.217299939","-33.811562561","301","SAILORS BAY","ROAD","NORTHBRIDGE","2063","New South Wales",NA,NA,NA,NA
"11","PAN-229072",727650,1,NA,NA,"Cancelled","Development Application","N",NA,"N","Unknown","Woollahra Municipal Council","Alterations and additions to residential development","18 SUFFOLK STREET PADDINGTON 2021","151.229917389","-33.882898233","18","SUFFOLK","STREET","PADDINGTON","2021","New South Wales",NA,NA,NA,NA
