"","X.1","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"1",1748,"PAN-443563",36092834,27,8,"Under Assessment","Development Application","Unknown","Ku-ring-gai Council","Demolition-Residential flat building-Commercial development-Subdivision-Erection of a new structure-Change of use of land or a building or the classification of a building under the Building Code of Australia-Residential Accommodation","7-9 Merriwa Street Gordon",151.147434511,-33.752604428,"7","MERRIWA","STREET","GORDON",2072,"New South Wales","9",NA,1,"N","Y",NA,31,"2024-06-28",NA,2024-08-14,"2024-07-15T00:00:00","N",NA,NA
"2",1853,"PAN-444130",5632894,16,3,"Under Assessment","Development Application","Unknown","Central Coast Council","Residential flat building-Erection of a new structure","29 BYRON STREET WYONG 2259",151.426744872,-33.287716007,"29","BYRON","STREET","WYONG",2259,"New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-15",NA,2024-08-23,"2024-08-02T00:00:00","N",NA,NA
"3",1895,"PAN-444814",112839477.71,296,7,"Under Assessment","Development Application","Unknown","Camden Council","Demolition-Residential flat building-Subdivision-Erection of a new structure-Residential Accommodation","182 BYRON ROAD LEPPINGTON 2179",150.816194308,-33.95881519,"182","BYRON","ROAD","LEPPINGTON",2179,"New South Wales","null","null",1,"N","N",NA,3,"2024-07-23",NA,2024-08-21,"2024-08-08T00:00:00","Y",NA,NA
"4",1896,"PAN-451097",25949744,34,8,"Additional Information Requested","Development Application","Unknown","City of Canada Bay Council","Demolition-Residential flat building-Erection of a new structure-Change of use of land or a building or the classification of a building under the Building Code of Australia-Multi-dwelling housing (terraces)","2 DENHAM STREET RHODES 2138",151.090556893,-33.826805368,"2","DENHAM","STREET","RHODES",2138,"New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-07-24",NA,2024-08-23,"2024-07-26T00:00:00","N",NA,NA
"5",1923,"PAN-442785",5667000,9,NA,"Under Assessment","Development Application","Unknown","Waverley Council","Demolition-Residential flat building-Erection of a new structure-Residential Accommodation","121 GLENAYR AVENUE BONDI BEACH 2026",151.272049883,-33.886856753,"121","GLENAYR","AVENUE","BONDI BEACH",2026,"New South Wales",NA,NA,NA,"Y","Y",NA,NA,"2024-07-10",NA,2024-08-19,"2024-07-22T00:00:00","N",NA,NA
"6",1934,"PAN-447939",18749312,35,4,"Under Assessment","Development Application","Unknown","The Council of the Municipality of Kiama","Shop top housing-Erection of a new structure-Retail Premise","11 AKUNA STREET KIAMA 2533",150.852942214,-34.671024044,"11","AKUNA","STREET","KIAMA",2533,"New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-07-16",NA,2024-08-21,"2024-07-24T00:00:00","N",NA,NA
"7",1936,"PAN-451512",17340720,25,1,"Under Assessment","Development Application","Unknown","Byron Shire Council","Multi-dwelling housing-Subdivision-Erection of a new structure-Balcony, deck, patio, terrace or verandah-Driveways and hard stand spaces-Earthworks, retaining walls and structural support-Fences-Garage, carport or carparking space","30 CHINBIBLE AVENUE MULLUMBIMBY 2482",153.489460356,-28.550460918,"30","CHINBIBLE","AVENUE","MULLUMBIMBY",2482,"New South Wales",NA,NA,1,"N","N",NA,25,"2024-07-26",NA,2024-08-18,"2024-08-05T00:00:00","N",NA,NA
"8",1940,"PAN-449164",28784913,2,NA,"Under Assessment","Development Application","Unknown","Byron Shire Council","Dual occupancy-Erection of a new structure-Dual occupancy (detached)","BROWNELL DRIVE BYRON BAY 2481",153.635902532,-28.636393432,NA,"BROWNELL","DRIVE","BYRON BAY",2481,"New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-07-27",NA,2024-09-02,"2024-08-06T00:00:00","N",NA,NA
"9",1995,"PAN-438794",95599635,72,NA,"Under Assessment","Development Application","Unknown","Tweed Shire Council","Shop top housing-Erection of a new structure","3 RIVER TERRACE TWEED HEADS 2485",153.541124928,-28.179003899,"3","RIVER","TERRACE","TWEED HEADS",2485,"New South Wales",NA,NA,NA,NA,NA,NA,NA,"2024-06-20",NA,2024-08-14,"2024-07-17T00:00:00","N",NA,NA
"10",1997,"PAN-448591",33832606,26,8,"Additional Information Requested","Development Application","Unknown","Woollahra Municipal Council","Demolition-Residential flat building-Subdivision-Erection of a new structure","80 Drumalbyn Road, Bellevue Hill, NSW 2023",151.25935305,-33.880969379,"80","DRUMALBYN","ROAD","BELLEVUE HILL",2023,"New South Wales",NA,NA,24,"N","Y","Y",26,"2024-07-15",NA,2024-09-06,"2024-08-07T00:00:00","N",NA,NA
"11",1999,"PAN-448670",70715000,168,6,"Under Assessment","Development Application","Unknown","Sutherland Shire Council","Demolition-Residential flat building-Shop top housing-Commercial development-Erection of a new structure-Retail Premise-Residential Accommodation","1323-1329 PRINCES HIGHWAY HEATHCOTE 2233",151.009025334,-34.085720255,"1323","PRINCES","HIGHWAY","HEATHCOTE",2233,"New South Wales","1329",NA,NA,"N","Y",NA,NA,"2024-07-17",NA,2024-08-23,"2024-07-25T00:00:00","N",NA,NA
